COD_DANE_A,Residential buildings (TVIVIENDA),Residential Occupied&Used (TP15_1_OCU),Residential Occupied&Empty (TP15_2_OCU),Residential Temporary (TP15_3_OCU),Residential Empty (TP15_4_OCU),Households (TP16_HOG),Residential Electricity Y (TP19_EE_1),Residential Electricity N (TP19_EE_2)
0500210000000000010707,28,23,0,1,4,23,23,0
0500210000000000010803,23,20,0,0,3,20,20,0
0500210000000000010801,0,0,0,0,0,0,0,0
0500210000000000010806,18,16,0,0,2,16,16,0
0500210000000000010805,13,10,0,1,2,10,10,0
0500210000000000010714,0,0,0,0,0,0,0,0
0500210000000000010713,31,24,0,2,5,24,24,0
0500210000000000010716,0,0,0,0,0,0,0,0
0500210000000000010715,0,0,0,0,0,0,0,0
0500210000000000010632,31,26,0,2,3,26,26,0
0500210000000000010631,10,9,0,1,0,9,9,0
0500210000000000010634,17,15,0,1,1,15,15,0
0500210000000000010633,15,12,0,1,2,12,12,0
0500210000000000010628,11,10,0,0,1,10,10,0
0500210000000000010627,13,11,0,1,1,11,11,0
0500210000000000010630,35,30,0,5,0,30,30,0
0500210000000000010629,21,16,0,2,3,16,16,0
0500210000000000010702,19,15,0,0,4,19,15,0
0500210000000000010701,34,30,0,0,4,31,30,0
0500210000000000010704,30,19,0,2,9,20,19,0
0500210000000000010703,34,27,1,2,4,27,27,0
0500210000000000010636,7,6,0,0,1,6,6,0
0500210000000000010635,17,12,0,0,5,12,12,0
0500210000000000010638,0,0,0,0,0,0,0,0
0500210000000000010637,0,0,0,0,0,0,0,0
